,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Khatanga,71.9667,102.5,12.49,94,41,9.33,RU
1,Dongsheng,39.8161,109.9776,34.12,34,0,7.34,CN
2,Puerto Ayora,-0.7393,-90.3518,76.96,85,80,8.99,EC
3,Bethel,41.3712,-73.414,66.45,52,0,9.22,US
4,Kodiak,57.79,-152.4072,49.51,81,100,5.75,US
5,Ushuaia,-54.8,-68.3,49.66,40,0,4.61,AR
6,Faanui,-16.4833,-151.75,78.94,66,8,17.09,PF
7,Avarua,-21.2078,-159.775,75.25,78,75,6.91,CK
8,San Pedro,14.35,121.0167,80.35,90,75,8.05,PH
9,Saint-Pierre,-21.3393,55.4781,69.91,68,0,4.61,RE
10,Punta Arenas,-53.15,-70.9167,59.11,38,0,20.71,CL
11,Iqaluit,63.7506,-68.5145,34.7,100,100,13.8,CA
12,Hami,42.8,93.45,54.54,23,4,1.88,CN
13,Beyneu,45.3167,55.2,52.21,41,90,8.05,KZ
14,Pontes E Lacerda,-15.2261,-59.3353,98.42,29,55,5.06,BR
15,Los Llanos De Aridane,28.6585,-17.9182,71.35,89,20,4.0,ES
16,Airai,-8.9266,125.4092,61.32,69,96,2.15,TL
17,Mar Del Plata,-38.0023,-57.5575,60.82,82,0,12.66,AR
18,Alekseyevsk,57.8406,108.3492,26.71,83,73,3.76,RU
19,Saint-Philippe,-21.3585,55.7679,69.39,80,55,6.29,RE
20,Ponta Do Sol,32.6667,-17.1,74.03,75,27,3.87,PT
21,Hilo,19.7297,-155.09,87.28,82,75,4.61,US
22,Deputatskiy,69.3,139.9,12.36,94,100,4.74,RU
23,Tasiilaq,65.6145,-37.6368,30.36,60,69,6.53,GL
24,Atuona,-9.8,-139.0333,76.23,72,5,11.79,PF
25,Krasnoselkup,65.7,82.4667,31.77,99,100,5.88,RU
26,Urusha,54.05,122.9,25.68,62,5,5.01,RU
27,Provideniya,64.3833,-173.3,25.07,79,100,9.42,RU
28,Jamestown,42.097,-79.2353,60.19,34,20,14.97,US
29,Port Alfred,-33.5906,26.891,66.18,90,97,3.0,ZA
30,Carepa,7.7585,-76.6525,83.03,82,100,4.59,CO
31,Rikitea,-23.1203,-134.9692,68.9,60,94,20.51,PF
32,Albany,42.6001,-73.9662,61.18,54,98,0.31,US
33,Thompson,55.7435,-97.8558,28.56,59,20,11.5,CA
34,Mahebourg,-20.4081,57.7,71.89,78,75,5.75,MU
35,Victoria,22.2855,114.1577,84.38,47,100,17.0,HK
36,Port Lincoln,-34.7333,135.8667,55.98,83,74,13.94,AU
37,Araci,-11.3333,-38.9667,92.73,23,29,11.39,BR
38,Ribeira Grande,38.5167,-28.7,68.4,56,20,12.66,PT
39,Hofn,64.2539,-15.2082,42.89,69,100,22.46,IS
40,Castro,-24.7911,-50.0119,66.85,85,98,4.54,BR
41,Aanekoski,62.6946,25.818,51.87,100,100,10.27,FI
42,Saint-Joseph,-21.3667,55.6167,68.38,80,66,5.75,RE
43,Yumen,40.2833,97.2,45.1,26,15,5.68,CN
44,Sorland,67.667,12.6934,44.46,75,100,9.73,NO
45,Padang,-0.9492,100.3543,75.96,89,100,3.38,ID
46,Ikalamavony,-21.15,46.5833,68.94,63,55,4.41,MG
47,Mataura,-46.1927,168.8643,45.77,83,99,2.95,NZ
48,Odweyne,9.4092,45.064,77.54,51,73,8.43,SO
49,Hobart,-42.8794,147.3294,48.06,76,40,4.61,AU
50,Cherskiy,68.75,161.3,2.55,98,94,6.91,RU
51,Bluff,-46.6,168.3333,50.77,66,52,18.14,NZ
52,Busselton,-33.65,115.3333,50.94,84,12,9.48,AU
53,Linxia,35.6003,103.2064,45.27,47,25,1.83,CN
54,Jurado,7.1053,-77.7641,77.65,91,86,7.49,CO
55,Marsa Matruh,31.3525,27.2453,72.84,71,72,20.56,EG
56,Sarangani,5.4033,125.4636,83.32,76,99,10.0,PH
57,Hermanus,-34.4187,19.2345,67.8,80,33,3.89,ZA
58,Lompoc,34.6391,-120.4579,72.57,77,100,9.22,US
59,Yellowknife,62.456,-114.3525,30.72,93,100,17.27,CA
60,Cape Town,-33.9258,18.4232,73.35,64,40,5.75,ZA
61,Portland,45.5234,-122.6762,82.78,36,20,12.66,US
62,Nome,64.5011,-165.4064,28.47,80,100,10.36,US
63,Vao,-22.6667,167.4833,70.43,65,1,6.87,NC
64,Xining,36.6167,101.7667,40.32,50,1,2.26,CN
65,Hamilton,39.1834,-84.5333,72.77,31,0,11.5,US
66,Chuy,-33.6971,-53.4616,59.54,93,86,19.64,UY
67,Narsaq,60.9167,-46.05,37.62,72,8,5.1,GL
68,Geraldton,-28.7667,114.6,59.41,82,75,10.36,AU
69,Balabac,7.9868,117.0645,80.44,83,100,13.09,PH
70,Katsuura,35.1333,140.3,71.22,84,99,8.57,JP
71,Tuatapere,-46.1333,167.6833,42.53,89,52,2.98,NZ
72,Bathsheba,13.2167,-59.5167,88.41,70,20,11.5,BB
73,Aklavik,68.2191,-135.0107,24.8,93,100,6.91,CA
74,Torbay,47.6666,-52.7314,55.38,83,75,17.27,CA
75,Mecca,21.4267,39.8261,84.9,51,34,2.13,SA
76,Kysyl-Syr,63.8986,122.7617,28.17,95,100,6.11,RU
77,Kapaa,22.0752,-159.319,79.11,76,40,6.91,US
78,Oarai,36.3167,140.6,67.26,80,99,4.94,JP
79,Chebenki,51.9337,55.7077,38.95,77,71,4.0,RU
80,Sambava,-14.2667,50.1667,72.32,75,27,9.37,MG
81,The Valley,18.217,-63.0578,87.66,74,40,10.36,AI
82,Viedma,-40.8135,-62.9967,74.57,24,94,3.13,AR
83,Katiola,8.1333,-5.1,81.23,83,66,3.83,CI
84,Tiarei,-17.5333,-149.3333,78.82,69,29,17.22,PF
85,Sovetskiy,61.3614,63.5842,39.67,92,100,6.15,RU
86,Praxedis Guerrero,31.3667,-106.0167,74.66,52,14,9.93,MX
87,Takoradi,4.8845,-1.7554,76.82,89,99,7.81,GH
88,Uarini,-2.99,-65.1083,85.48,61,100,3.83,BR
89,Macklin,52.3334,-109.9348,48.54,27,95,11.77,CA
90,Pacific Grove,36.6177,-121.9166,64.08,79,100,5.75,US
91,Esperance,-33.8667,121.9,58.48,82,94,18.7,AU
92,Horadiz,39.4488,47.3353,63.37,74,98,6.98,AZ
93,Zaysan,47.4667,84.8667,55.26,23,88,4.0,KZ
94,Guerrero Negro,27.9769,-114.0611,74.25,53,73,10.49,MX
95,Moerai,-22.4333,-151.3333,70.77,73,98,22.17,PF
96,Wageningen,51.9667,5.6667,59.95,85,75,3.44,NL
97,Hithadhoo,-0.6,73.0833,81.03,68,97,11.25,MV
98,New Norfolk,-42.7826,147.0587,47.71,72,100,1.99,AU
99,Karlstad,59.3793,13.5036,46.96,87,84,11.5,SE
100,Samarai,-10.6167,150.6667,80.65,81,86,12.8,PG
101,Atambua,-9.1061,124.8925,75.61,85,100,2.62,ID
102,Entre Rios,-11.9419,-38.0844,85.41,39,4,10.67,BR
103,Kyren,51.6828,102.1408,31.42,49,6,2.46,RU
104,Anahuac,27.2333,-100.15,88.11,50,61,16.42,MX
105,Kahului,20.8947,-156.47,82.42,62,0,10.36,US
106,Andenes,69.3143,16.1194,40.98,75,75,4.61,NO
107,Lavrentiya,65.5833,-171.0,29.77,75,100,22.39,RU
108,Butaritari,3.0707,172.7902,81.95,68,98,18.07,KI
109,North Bay,46.3168,-79.4663,46.11,92,100,5.75,CA
110,Dikson,73.5069,80.5464,28.71,91,95,8.97,RU
111,Hambantota,6.1241,81.1185,79.14,94,40,8.05,LK
112,Isangel,-19.55,169.2667,71.71,78,24,5.75,VU
113,Vaini,-21.2,-175.2,75.36,94,40,5.75,TO
114,Sibolga,1.7427,98.7792,74.89,85,100,3.15,ID
115,Grindavik,63.8424,-22.4338,39.15,81,20,28.77,IS
116,Berlevag,70.8578,29.0864,44.55,87,100,9.22,NO
117,Salinopolis,-0.6136,-47.3561,85.06,67,69,13.27,BR
118,Jacqueville,5.2052,-4.4146,78.55,81,73,9.01,CI
119,Batagay-Alyta,67.8006,130.4114,12.96,82,100,6.26,RU
120,Port Hardy,50.6996,-127.4199,59.18,72,0,6.91,CA
121,Arman,59.7,150.1667,19.51,65,74,7.11,RU
122,Longyearbyen,78.2186,15.6401,26.44,63,75,11.5,SJ
123,Husavik,66.0449,-17.3389,37.56,99,100,14.47,IS
124,Necochea,-38.5473,-58.7368,65.95,45,27,14.0,AR
125,Goderich,43.7501,-81.7165,54.91,62,45,6.91,CA
126,Bell Ville,-32.6259,-62.6887,76.1,27,0,9.28,AR
127,Ahuimanu,21.4447,-157.8378,80.62,71,20,9.22,US
128,Vila Do Maio,15.1333,-23.2167,81.39,74,40,10.25,CV
129,San Antonio Del Tachira,7.8145,-72.4431,87.98,55,40,4.61,VE
130,Lewiston,44.1003,-70.2148,68.05,64,0,3.44,US
131,Flinders,-34.5833,150.8552,58.17,86,98,7.0,AU
132,Chokurdakh,70.6333,147.9167,13.28,85,99,10.83,RU
133,Sena Madureira,-9.0656,-68.6569,87.26,58,91,4.09,BR
134,Jiayuguan,39.8167,98.3,43.93,26,37,4.59,CN
135,Barrow,71.2906,-156.7887,28.42,86,100,24.16,US
136,Karratha,-20.7377,116.8463,74.23,43,2,13.91,AU
137,Mikuni,36.2171,136.1519,64.31,83,62,6.53,JP
138,Kitgum,3.2783,32.8867,68.76,88,100,1.77,UG
139,Puerto Del Rosario,28.5004,-13.8627,78.55,61,20,10.36,ES
140,Saldanha,-33.0117,17.9442,66.25,90,8,7.58,ZA
141,Tiksi,71.6872,128.8694,18.34,89,96,17.6,RU
142,Kavieng,-2.5744,150.7967,81.72,77,86,12.19,PG
143,Nabire,-3.3667,135.4833,76.95,90,98,2.42,ID
144,Dingle,10.9995,122.6711,75.88,92,100,4.36,PH
145,Herat,34.5,62.0,67.06,16,0,8.68,AF
146,Ilulissat,69.2167,-51.1,46.42,34,100,14.97,GL
